Starting Training
Epoch: 347/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 348/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 349/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 350/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 351/3000, Score: 24, Tetrominoes 26, Cleared lines: 0
Epoch: 352/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 353/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 354/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 355/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 356/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 357/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 358/3000, Score: 14, Tetrominoes 16, Cleared lines: 0
Epoch: 359/3000, Score: 13, Tetrominoes 15, Cleared lines: 0
Epoch: 360/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
Epoch: 361/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 362/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 363/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 364/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 365/3000, Score: 18, Tetrominoes 20, Cleared lines: 0
Epoch: 366/3000, Score: 27, Tetrominoes 29, Cleared lines: 0
Epoch: 367/3000, Score: 11, Tetrominoes 13, Cleared lines: 0
Epoch: 368/3000, Score: 19, Tetrominoes 21, Cleared lines: 0
Epoch: 369/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 370/3000, Score: 23, Tetrominoes 25, Cleared lines: 0
Epoch: 371/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 372/3000, Score: 16, Tetrominoes 18, Cleared lines: 0
Epoch: 373/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 374/3000, Score: 15, Tetrominoes 17, Cleared lines: 0
Epoch: 375/3000, Score: 20, Tetrominoes 22, Cleared lines: 0
Epoch: 376/3000, Score: 22, Tetrominoes 24, Cleared lines: 0
